_link,id,tag,date,ocid,Payment Mode,initiationType,fiscal_year,buyer_name,tender_id,tender_stage,tender_title,tender_allowTwoStageTender,tender_status,tender_submissionMethodDetails,tender_procurementMethod,tender_mainProcurementCategory,tender_contractType,tender_numberOfTenderers,tender_datePublished,tender_allowPreferentialBidder,tender_externalReference,tender_value_amount,tender_bidOpening_date,tender_tenderPeriod_durationInDays,tenderclassification_description
id-13.420,ocds-kjhdrl-2018_BoTC_6461_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6461_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_6461_1,AOC,Construction of Dimakuchi College under Indo-Bhutan Border Areas of Udalguri District under BADP (SCA) for the year 2014-15.,No,NA,NA,Open Tender,Works,Item Rate,3,2018-03-23 15:00:00,No,TN-117/2,2079401,10-04-2018 11:00,180,Civil Works
id-13.421,ocds-kjhdrl-2018_BoTC_6590_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6590_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_6590_1,Technical Evaluation,CRD/2017-18/47,No,NA,NA,Open Tender,Works,Item Rate,2,2018-03-28 15:30:00,No,CRD/6 of 2017-18,4009700,10-04-2018 11:30,180,Civil Works
id-13.422,ocds-kjhdrl-2018_BoTC_6612_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6612_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_6612_1,Technical Evaluation,Improvement of Nayakgaon - Shikatary road,No,NA,NA,Open Tender,Works,Works,2,2018-03-29 15:00:00,No,HFD_101_8,4778865,10-04-2018 11:00,180,Civil Works – Roads
id-13.423,ocds-kjhdrl-2018_BoTC_6640_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6640_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_6640_1,Technical Evaluation,CRD/2017-18/50,No,NA,NA,Open Tender,Works,Item Rate,2,2018-02-04 10:30:00,No,CRD/7 of 2017-18,6866845,12-04-2018 15:30,180,Civil Works
id-13.424,ocds-kjhdrl-2018_BoTC_6666_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6666_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_6666_1,Financial Evaluation,Constr of CC Block road from Tarun house to Turlai house at Kokrajhar under SOPD 2017-18,No,NA,NA,Open Tender,Works,Item Rate,2,2018-03-04 10:30:00,No,DPRD/BTC/SOPD/Koj144/2018/26/2,3683334,17-04-2018 14:00,180,Civil Works
id-13.425,ocds-kjhdrl-2018_BoTC_6703_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6703_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_6703_1,Technical Evaluation,CRD/2017-18/44,No,NA,NA,Open Tender,Works,Item Rate,2,2018-04-04 11:30:00,No,CRD/6 of 2017-18,3006500,10-04-2018 11:30,180,Civil Works
id-13.426,ocds-kjhdrl-2018_BoTC_6736_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6736_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_6736_1,AOC,"Repair and Renovation and Retrofitting works of Office of the Superintendent of Taxes at Kokrajhar, BTC.",No,NA,NA,Open Tender,Works,Item Rate,3,2018-07-04 15:00:00,No,TN-101/2,4665440,24-04-2018 11:00,180,Civil Works
id-13.427,ocds-kjhdrl-2018_BoTC_6772_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6772_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_6772_1,Financial Bid Opening,"Construction of  Brick Boundary Wall and Earth filling at Naokata Milan Girls M.E. and High School, Dist. Baksa.",No,NA,NA,Open Tender,Works,Item Rate,3,2018-10-04 12:00:00,No,TN-302/2,2716225,24-04-2018 11:00,180,Civil Works
id-13.428,ocds-kjhdrl-2018_BoTC_6962_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_6962_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_6962_1,Financial Evaluation,Const of Interlocking Concrete Block Pavement on the road from Sarupeta Bhuyanpara PWD road near from Taltol to Nikhil Das House at Daspara under SOPD 2017-18.,No,NA,NA,Open Tender,Works,Item Rate,2,2018-04-24 10:30:00,No,DPRD/BTC/SOPD/Bak28/PtI/17-18,7922368,09-05-2018 14:00,180,Civil Works
id-13.429,ocds-kjhdrl-2018_BoTC_7024_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7024_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7024_1,Technical Bid Opening,Earth Filling and Providing GSB at Udalguri Weekly Market,No,NA,NA,Open Tender,Works,Works,0,2018-04-28 10:30:00,No,UTC/BTC/ETender/2018-19/02,2325000,10-05-2018 16:30,120,Civil Works
