_link,_link_main,code,type,title,type.1,dueDate,title.1,dueDate.1
id-0.46.tender.milestones.0,id-0.46,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.47.tender.milestones.0,id-0.47,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.48.tender.milestones.0,id-0.48,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.49.tender.milestones.0,id-0.49,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.50.tender.milestones.0,id-0.50,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.51.tender.milestones.0,id-0.51,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.52.tender.milestones.0,id-0.52,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.53.tender.milestones.0,id-0.53,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.54.tender.milestones.0,id-0.54,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.55.tender.milestones.0,id-0.55,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.56.tender.milestones.0,id-0.56,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.57.tender.milestones.0,id-0.57,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.58.tender.milestones.0,id-0.58,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.59.tender.milestones.0,id-0.59,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.60.tender.milestones.0,id-0.60,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.61.tender.milestones.0,id-0.61,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.62.tender.milestones.0,id-0.62,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.63.tender.milestones.0,id-0.63,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.64.tender.milestones.0,id-0.64,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.65.tender.milestones.0,id-0.65,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.66.tender.milestones.0,id-0.66,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.67.tender.milestones.0,id-0.67,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.68.tender.milestones.0,id-0.68,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.69.tender.milestones.0,id-0.69,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.70.tender.milestones.0,id-0.70,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.71.tender.milestones.0,id-0.71,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.72.tender.milestones.0,id-0.72,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.73.tender.milestones.0,id-0.73,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.74.tender.milestones.0,id-0.74,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.75.tender.milestones.0,id-0.75,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.76.tender.milestones.0,id-0.76,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.77.tender.milestones.0,id-0.77,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.78.tender.milestones.0,id-0.78,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.79.tender.milestones.0,id-0.79,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.80.tender.milestones.0,id-0.80,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.81.tender.milestones.0,id-0.81,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.82.tender.milestones.0,id-0.82,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.83.tender.milestones.0,id-0.83,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.84.tender.milestones.0,id-0.84,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.85.tender.milestones.0,id-0.85,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.86.tender.milestones.0,id-0.86,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.87.tender.milestones.0,id-0.87,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.88.tender.milestones.0,id-0.88,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.89.tender.milestones.0,id-0.89,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.90.tender.milestones.0,id-0.90,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.91.tender.milestones.0,id-0.91,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.92.tender.milestones.0,id-0.92,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.93.tender.milestones.0,id-0.93,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.94.tender.milestones.0,id-0.94,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.95.tender.milestones.0,id-0.95,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.96.tender.milestones.0,id-0.96,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.97.tender.milestones.0,id-0.97,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.98.tender.milestones.0,id-0.98,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.99.tender.milestones.0,id-0.99,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.100.tender.milestones.0,id-0.100,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.101.tender.milestones.0,id-0.101,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.102.tender.milestones.0,id-0.102,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.103.tender.milestones.0,id-0.103,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.104.tender.milestones.0,id-0.104,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.105.tender.milestones.0,id-0.105,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.106.tender.milestones.0,id-0.106,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.107.tender.milestones.0,id-0.107,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.108.tender.milestones.0,id-0.108,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.109.tender.milestones.0,id-0.109,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.110.tender.milestones.0,id-0.110,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.111.tender.milestones.0,id-0.111,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.112.tender.milestones.0,id-0.112,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.113.tender.milestones.0,id-0.113,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.114.tender.milestones.0,id-0.114,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.115.tender.milestones.0,id-0.115,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.116.tender.milestones.0,id-0.116,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
